ward_code,Ward,Borough,Childhood_Obesity_Year6,Children_in_poverty,dependent_children_in_out_of_work_households,Public_Transport_Accessibility,Crime_rate,Unauthorised_Absence_in_All_Schools,Median_Household_income,Qualifications_Level4_and_above,Population_density,Households_with_access_to_openspace,Road_Casualties,People_activities_are_limited,People_with_Bad_or_Very_Bad_Health,Average_GCSE,Unemployed
E05000507,Loxford,Redbridge,25.58,38.9,32.84,3.37,114.11,1.59,28500,31.1,12846.15385,69.81,80.33,7.3,5.7,38.7526147,16.75683579
E05000508,Mayfield,Redbridge,24.72,23.27,19.16,2.71,90.05,1.25,35630,29.9,7263.157895,36.9,28,7,5,43.8001496,11.07644306
E05000509,Monkhams,Redbridge,14.52,5.73,4.7,2.62,65.65,0.48,48780,41.6,3387.096774,0,38.67,6.8,3.8,73.234804,4.155939684
E05000510,Newbury,Redbridge,22.24,23.7,18.86,3.15,81.73,0.86,35550,33.4,8047.619048,0.36,61.33,5.9,4.4,65.8864228,10.61622169
E05000511,Roding,Redbridge,21.58,19.9,16.28,2.39,90.03,0.99,41040,37,5282.608696,0,62.33,5.2,3.7,47.5070562,7.507598784
E05000512,Seven Kings,Redbridge,25.91,25.63,21.85,3.09,90.92,1.02,34480,31.7,7285.714286,2.68,53.33,6.9,5.1,36.2673871,12.66109616
E05000513,Snaresbrook,Redbridge,18.18,9.77,8.17,3.7,86.65,0.66,45160,50.1,5975,8.64,27.67,7.9,4.8,53.8624603,4.883479293
E05000514,Valentines,Redbridge,23.73,24.07,18.94,4.37,134.86,1.02,34900,36.9,9500,6.1,40.67,6.5,4.9,65.0310668,13.06540116
E05000515,Wanstead,Redbridge,19.62,10.4,9.81,2.47,134.98,0.73,46370,45.3,2240.384615,19.65,51,6.4,4,60.5106494,5.628819556
E05000516,Barnes,Richmond upon Thames,19.83,8.47,7.89,3.24,78.76,1.22,55450,57.5,3450,55.23,18.67,4.9,3.2,37.9452228,4.936661699
E05000517,East Sheen,Richmond upon Thames,8.33,4.13,3.25,2.53,68.85,0.68,56090,61.6,1793.103448,25.22,22.33,3.5,2.1,75.5506106,3.329111634
E05000518,Fulwell and Hampton Hill,Richmond upon Thames,6.32,7.47,6.76,2.95,49.54,0.58,48810,52.8,5342.105263,59.54,19.67,5.1,3.2,75.1870948,3.787480274
E05000519,"Ham, Petersham and Richmond Riverside",Richmond upon Thames,13.68,16.77,14.35,2.06,75.22,1.04,44870,46,1101.06383,73.44,35.67,6.7,4.4,37.2659296,6.512488437
E05000520,Hampton,Richmond upon Thames,16.4,9.3,8.49,2.56,57.78,0.6,46750,47.2,1449.275362,39.81,41.33,5.9,4,62.7443705,4.068799704
E05000521,Hampton North,Richmond upon Thames,18.46,20.23,17.83,2.16,81.17,0.94,39440,36.3,4947.368421,54.72,14.33,7.2,4.8,41.8369922,5.755978922
