ward_code,Ward,Borough,Childhood_Obesity_Year6,Children_in_poverty,dependent_children_in_out_of_work_households,Public_Transport_Accessibility,Crime_rate,Unauthorised_Absence_in_All_Schools,Median_Household_income,Qualifications_Level4_and_above,Population_density,Households_with_access_to_openspace,Road_Casualties,People_activities_are_limited,People_with_Bad_or_Very_Bad_Health,Average_GCSE,Unemployed
E05000618,Nightingale,Wandsworth,18.5,10.6,10.67,5.27,104.96,0.72,50790,63,12291.66667,68.41,53.67,5.1,3.5,45.2594055,4.256224729
E05000619,Northcote,Wandsworth,10.4,5.53,5.33,4.89,150.97,0.67,55810,68.7,8823.529412,43.58,77.33,3.2,2.4,47.2392972,3.114503817
E05000620,Queenstown,Wandsworth,25.64,34.97,31.45,4.32,78.51,1.27,39580,50,5109.375,40.78,71,5,3.9,31.6378512,7.416493678
E05000621,Roehampton,Wandsworth,22.22,37.13,32.96,2.93,88.97,1.55,30320,27.3,3659.090909,79,76.33,7.9,5.6,34.9777353,13.46747315
E05000622,St Mary's Park,Wandsworth,23.77,25.43,22.79,3.5,89.9,0.99,44720,52.1,11857.14286,65.58,56,5.6,3.6,42.2836794,5.867322797
E05000623,Shaftesbury,Wandsworth,26.57,16.1,15.92,4.97,127.64,0.78,50410,61.7,15777.77778,20.66,41.67,4.8,3.5,55.1285615,4.443772672
E05000624,Southfields,Wandsworth,17.3,14.7,14.05,3.77,99.04,0.63,48160,57.6,10866.66667,72.76,40.67,4.1,2.8,69.0048183,4.325108853
E05000625,Thamesfield,Wandsworth,11.7,6.9,6.5,4.66,117.15,0.61,55380,68.6,7842.105263,64.53,48.33,3.1,2.3,65.3101525,3.227423073
E05000626,Tooting,Wandsworth,21.04,32.13,28.04,5.13,74.94,0.93,36000,42.5,10156.25,84.2,90.67,5.7,4.6,37.5794672,8.688854143
E05000627,Wandsworth Common,Wandsworth,16.67,7.4,7.32,2.58,85.74,0.59,51420,53.9,5464.285714,79.06,39.33,5,3.5,52.1507865,5.160684964
E05000628,West Hill,Wandsworth,18.36,26.9,23.13,2.89,60.89,0.99,40360,45.1,9676.470588,87.27,22,6.3,4.2,45.2072534,6.480888319
E05000629,West Putney,Wandsworth,21.8,22.1,20.12,2.78,80.73,1.46,43280,48.7,8194.444444,77.03,22,7.1,4.9,33.4092496,5.955489245
E05000630,Abbey Road,Westminster,23.96,17.8,11.33,5.36,66.41,1.08,52200,56.6,10227.27273,16.64,32.33,5.6,4.5,42.5314928,4.917463076
E05000631,Bayswater,Westminster,20.22,19.97,17.95,5.96,142.99,1.08,49960,61.3,20600,6.44,25.33,5.9,4.8,39.4678018,5.928308824
E05000632,Bryanston and Dorset Square,Westminster,35.71,23.07,18,7.96,99.51,1.14,51370,58,17142.85714,30.19,92.33,5,4.1,50.801741,5.876407739
E05000633,Churchill,Westminster,26.92,45.97,39.92,4.77,133.75,0.95,39530,38.4,16083.33333,63.24,23,8.9,7.5,44.8933277,9.577404969
E05000634,Church Street,Westminster,26.78,51.67,48.59,6.14,91.47,1.4,26290,26.4,29375,51.69,33.67,12.3,10.9,43.7975093,16.86486486
E05000635,Harrow Road,Westminster,27.27,44.3,40.59,5.5,111.87,1.18,35000,39.5,24100,31.16,33,9.2,7.6,43.117625,11.7508997
E05000636,Hyde Park,Westminster,15.84,28.2,24.75,7.79,64.94,1.43,46880,54.7,12450,36.3,92.33,5.6,5.2,46.3215789,7.642658061
E05000637,Knightsbridge and Belgravia,Westminster,,2.63,0.88,6.63,69.05,0.42,88330,47.8,2583.333333,36.33,163,2.4,1.8,66.6708333,3.82959438
E05000638,Lancaster Gate,Westminster,22.13,23.1,20.89,7.11,183.12,1.59,49290,60.8,22000,1.86,35.33,4.9,4,57.4991634,6.822044185
E05000639,Little Venice,Westminster,22.02,29.47,23.79,5.55,110.49,1.08,48770,56.5,17750,70.41,55,6.5,5.8,46.4232633,6.212967665
E05000640,Maida Vale,Westminster,23.72,35.9,35.56,5.32,118.77,1.34,45660,52.2,17000,23.58,27.33,7.5,5.9,24.4899501,6.846473029
E05000641,Marylebone High Street,Westminster,,15.63,12.37,7.77,75.62,0.99,58370,61.5,10350,4.46,115,3.8,2.9,74.3819712,4.685325499
E05000642,Queen's Park,Westminster,26.76,45.33,44.11,4.95,97.59,1.23,32260,30.3,20916.66667,41.5,13.67,10.4,9,36.5969351,13.31114809
E05000643,Regent's Park,Westminster,21.66,27.47,20.7,5.15,72.59,1.03,46510,52.2,5260.869565,64.37,88,7.7,6,40.7433346,6.582584658
E05000644,St James's,Westminster,24.18,18.37,23.7,7.56,76.23,0.95,52520,49.9,3085.714286,66.49,387,6.1,4.9,26.6605595,6.997261941
E05000645,Tachbrook,Westminster,25.74,23.8,22.5,6.11,84.03,0.82,47340,55.1,20375,90.84,37.33,7.1,5.7,57.6807942,5.792197452
E05000646,Vincent Square,Westminster,22.22,29.5,26.77,6.75,38.02,0.74,46550,53.1,14285.71429,92.56,40.33,7,5.6,46.2606686,7.682862656
E05000647,Warwick,Westminster,21.24,27.27,24.6,6.26,64.78,0.86,50250,58.5,15666.66667,3.78,55.67,6,5.2,47.9218439,6.15255658
E05000648,Westbourne,Westminster,26.55,50.33,48.51,4.74,104.08,1.18,32390,35.7,18214.28571,72.76,38,10.7,8.7,49.3090886,11.93333333
E05000649,West End,Westminster,21.21,16.5,13.17,7.94,117.2,0.8,54970,54.6,5300,39.68,273.67,5.3,4.5,39.4875972,6.018246027
