,VIF
Childhood_Obesity_Year6,2.775196672082635
Children_in_poverty,4.111213949157969
Qualifications_Level4_and_above,1.8198393211390889
Unauthorised_Absence_in_All_Schools,2.356911161197249
Crime_rate_log,1.6602584637918252
Population_density_boxcox,2.0941474455567493
Households_with_access_to_openspace,1.2070173210128963
